# Seconds of Week            X-ECEF            Y-ECEF            Z-ECEF        VX        VY        VZ     Pitch      Roll       Yaw      GyroBiasX      GyroBiasY      GyroBiasZ      AcceBiasX      AcceBiasY      AcceBiasZ         
#             (s)               (m)               (m)               (m)     (m/s)     (m/s)     (m/s)     (deg)     (deg)     (deg)        (deg/h)        (deg/h)        (deg/h)           (mg)           (mg)           (mg)
     358400.002500      -2267408.160       5008839.446       3222007.963    -0.000     0.000     0.000    0.5120    0.7325   35.9599         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
     358401.002500      -2267408.171       5008839.450       3222007.968    -0.006     0.008     0.006    0.5065    0.7538   35.9491        -0.0000        -0.0000        -0.0000        -0.0001         0.0001         0.0016
     358402.002500      -2267408.181       5008839.455       3222007.975    -0.006     0.013     0.012    0.5118    0.7355   35.9575         0.0002         0.0005        -0.0000        -0.0008         0.0004         0.0755
     358403.002500      -2267408.184       5008839.460       3222007.978    -0.001     0.017     0.010    0.5300    0.7293   35.9688        -0.0228         0.0184        -0.0005        -0.0052         0.0037         0.3949
     358404.002500      -2267408.192       5008839.465       3222007.979    -0.002     0.015     0.007    0.5224    0.7438   35.9596         0.0061        -0.1358         0.0013        -0.0103         0.0073         0.7682
     358405.002500      -2267408.196       5008839.467       3222007.982     0.001     0.011     0.005    0.5220    0.7340   35.9626         0.1454         0.0476         0.0015        -0.0146         0.0102         1.1091
     358406.002500      -2267408.205       5008839.467       3222007.984    -0.001     0.007     0.004    0.5165    0.7418   35.9591         0.5994        -0.4285         0.0116        -0.0174         0.0117         1.3079
     358407.002500      -2267408.214       5008839.466       3222007.987    -0.004     0.003     0.002    0.5148    0.7445   35.9561         0.9744        -0.5919         0.0178        -0.0191         0.0126         1.4328
     358408.002500      -2267408.221       5008839.470       3222007.992    -0.002     0.002     0.003    0.5130    0.7455   35.9571         0.9175        -0.1824         0.0133        -0.0193         0.0129         1.4670
     358409.002500      -2267408.221       5008839.471       3222007.992     0.003     0.002     0.001    0.5163    0.7390   35.9587         0.1394         0.6031        -0.0038        -0.0197         0.0138         1.5299
     358410.002500      -2267408.224       5008839.477       3222007.996     0.004     0.004     0.001    0.5179    0.7336   35.9613        -0.3729         0.6811        -0.0109        -0.0195         0.0139         1.5246
     358411.002500      -2267408.228       5008839.481       3222007.999     0.002     0.003     0.001    0.5150    0.7385   35.9619        -0.0699         0.0331        -0.0010        -0.0199         0.0140         1.5364
     358412.002500      -2267408.235       5008839.491       3222008.007    -0.002     0.005     0.002    0.5113    0.7437   35.9648         0.1845        -0.6201         0.0083        -0.0196         0.0137         1.5036
     358413.002500      -2267408.239       5008839.494       3222008.011    -0.002     0.003     0.003    0.5089    0.7440   35.9649         0.3766        -0.5264         0.0098        -0.0198         0.0138         1.5191
